ROOM_ID	TIME_DIFF
2	108
0	144
1	111
3	102
4	82
5	63
6	45
7	9
8	6
9	4
10	5
11	5
12	5
13	4
14	14
15	27
16	6
17	5
18	5
19	11
20	5
21	12
22	5
23	5
24	11
25	24
26	19
27	5
28	5
29	6
30	8
31	9
32	6
33	5
34	5
35	4
36	7
37	6
38	6
39	6
40	7
41	5
42	7
43	6
44	7
45	8
46	4
47	7
48	4
49	5
50	4
51	8
52	9
53	4
54	5
55	4
56	5
57	4
58	4
59	8
60	4
61	4
62	6
63	7
64	6
65	14
66	5
67	6
68	9
69	6
70	6
71	4
72	4
73	10
74	4
75	5
76	6
77	5
78	3
79	4
80	7
81	6
82	5
83	4
84	3
85	8
86	7
87	5
88	6
89	4
90	6
91	7
92	4
93	4
94	8
95	4
96	7
97	5
98	6
99	9
100	6
101	4
102	4
103	5
104	4
105	8
106	5
107	5
108	5
109	7
110	5
111	5
112	4
113	4
114	4
115	5
116	5
117	6
118	6
119	5
120	8
121	7
122	5
123	6
124	6
125	11
126	6
127	6
128	6
129	5
130	5
131	7
132	6
133	4
134	5
135	6
136	5
137	4
138	5
139	7
140	4
141	6
142	5
143	4
144	6
145	6
146	5
147	6
148	7
149	5
150	6
151	8
152	4
153	5
154	8
155	7
156	11
157	10
158	10
159	8
160	20
161	34
162	28
163	35
164	44
165	41
166	25
167	5
168	5
169	5
170	4
171	5
172	8
173	5
174	6
175	4
176	6
177	9
178	5
179	4
180	4
181	5
182	7
183	4
184	6
185	5
186	5
187	5
188	6
189	7
190	4
191	5
192	6
193	5
194	5
195	4
196	8
197	4
198	4
199	6
200	5
201	6
202	8
203	8
204	7
205	6
206	6
207	7
208	12
209	5
210	6
211	13
212	11
213	6
214	8
215	9
216	15
217	12
218	17
219	6
220	8
221	7
222	6
223	4
224	13
225	5
226	6
227	7
228	4
229	9
230	5
231	6
232	6
233	5
234	4
235	5
236	5
237	6
238	4
239	6
240	5
241	5
242	11
243	6
244	8
245	10
246	15
247	6
248	10
249	6
250	7
251	7
252	5
253	5
254	6
255	10
256	4
257	6
258	6
259	5
260	12
261	9
262	8
263	7
264	19
265	38
266	53
269	54
270	34
268	77
267	98
271	18
272	7
273	5
274	5
275	11
276	10
277	5
278	4
279	5
280	5
281	8
282	5
283	20
284	4
285	4
286	4
287	5
288	3
289	7
290	6
291	5
292	4
293	5
294	6
295	5
296	4
297	7
298	5
299	6
300	4
301	9
302	10
303	7
304	5
305	5
306	5
307	11
308	9
309	6
310	3
311	6
312	7
313	5
314	4
315	4
316	5
317	5
318	3
319	6
320	6
321	4
322	6
323	5
324	4
325	5
326	5
327	7
328	7
329	4
330	4
331	6
332	5
333	4
334	4
335	5
336	6
337	5
338	3
339	5
340	7
341	4
342	5
343	6
344	6
345	5
346	5
347	7
348	4
349	15
350	4
351	5
