ROOM_ID	TIME_DIFF
0	20
1	5
2	4
3	5
4	5
5	7
6	4
7	5
8	4
9	6
10	6
11	5
12	9
13	5
14	6
15	8
16	7
17	5
18	5
19	6
20	7
21	9
22	7
23	5
24	6
25	5
26	4
27	5
28	6
29	5
30	7
31	6
32	8
33	6
34	6
35	4
36	6
37	6
38	5
39	5
40	7
41	6
42	5
43	6
44	4
45	5
46	7
47	5
48	5
49	5
50	5
51	6
52	6
53	5
54	5
55	6
56	4
57	7
58	4
59	6
60	5
61	7
62	6
63	5
64	6
65	13
66	5
67	5
68	4
69	4
70	4
71	5
72	5
73	7
74	4
75	4
76	7
77	5
78	6
79	5
80	4
81	6
82	6
83	5
84	5
85	4
86	7
87	6
88	5
89	4
90	4
91	5
92	5
93	5
94	3
95	5
96	4
97	7
98	5
99	4
100	3
101	5
102	5
103	4
104	4
105	5
106	6
107	5
108	6
109	5
110	4
111	5
112	4
113	6
114	4
115	6
116	5
117	4
118	5
119	4
120	5
121	6
122	5
123	6
124	5
125	5
126	4
127	6
128	5
129	5
130	5
131	8
132	6
133	4
134	7
135	5
136	4
137	4
138	4
139	6
140	7
141	6
142	7
143	4
144	7
145	4
146	4
147	13
148	6
149	4
150	9
151	5
152	6
153	6
154	6
155	6
156	5
157	5
158	4
159	5
160	4
161	7
162	4
163	5
164	4
165	4
166	4
167	5
168	4
169	4
170	4
171	4
172	4
173	5
174	4
175	5
176	5
177	6
178	4
179	5
180	7
181	8
182	6
183	5
184	4
185	5
186	4
187	5
188	5
189	4
190	5
191	5
192	5
193	5
194	4
195	3
196	5
197	9
198	4
199	4
200	4
201	6
202	5
203	6
204	5
205	5
206	5
207	7
208	5
209	6
210	6
211	5
212	6
213	6
214	6
215	5
216	5
217	5
218	6
219	5
220	6
221	6
222	4
223	4
224	4
225	6
226	4
227	5
228	4
229	5
230	5
231	6
232	7
233	6
234	4
235	7
236	6
237	6
238	8
239	5
240	4
241	5
242	5
243	5
244	7
245	5
246	5
247	8
248	6
249	7
250	4
251	6
252	6
253	8
254	4
255	6
256	5
257	7
258	7
259	6
260	4
261	9
262	9
263	6
264	5
265	8
266	5
267	5
268	7
269	7
270	5
271	9
272	4
273	8
274	5
275	6
276	4
277	6
278	8
279	4
280	5
281	8
282	6
283	6
284	5
285	7
286	7
287	10
288	6
289	4
290	5
291	8
292	6
293	7
294	5
295	4
296	6
297	6
298	5
299	7
300	6
301	6
302	6
303	6
304	6
305	5
306	6
307	7
308	7
